R = 100+50+8.75 ohm ; L = 45.9 mH ; C = 10.1 nF 
f (Hz)	e (Vpp)	s (Vpp)
1	5.11	 5.01	
2	5.11	 5.01
5	5.11	 5.01
10	5.11	 5.01
20	5.11	 5.01
50	5.11	 5.01
100	5.11	 5.01
200	5.11	 5.01
500	5.11	 5.11
1000	5.11	 5.19
2000	5.11	 5.41
3000	5.01	 5.97
4000	5.01	 7.04
5000	4.94	 9.30
6000	5.03	14.20
6100	5.03	15.10
6200	5.03	16.50
6500	4.94	20.90
6800	4.76	27.70
7000	4.52	35.80
7100	3.56	32.90
7200	3.36	37.00
7300	2.41	30.50
7400	2.35	30.60
7500	2.43	29.20
7600	3.40	34.20
7700	3.58	30.10
7800	3.70	26.10
7900	3.78	22.40
8000	4.78	24.40
8100	4.76	22.00
8200	4.86	19.70
9000	5.03	10.00
10000	5.01	 5.89
20000	5.11	 0.71
50000	5.01	 0.047
100000	5.01	 0.041
