R = 100+50+2.84 ohm ; L = 11.26 mH ; C = 10.1 nF # Tension mesurées en CA EFF cyc
f (Hz)	e (V)	s (V)
1000	1.77	0.012
2000	1.77	0.024	
5000	1.766	0.0644
8000	1.76	0.125
10000	1.75	0.200
11000	1.74	0.260
12000	1.71	0.352
13000	1.65	0.506
13300	1.62	0.571
13500	1.59	0.619
13700	1.55	0.672
14000	1.49	0.757
14100	1.46	0.786
14200	1.44	0.813
14300	1.41	0.840
14500	1.36	0.889
14700	1.32	0.924
14800	1.31	0.934
14900	1.30	0.940
15000	1.30	0.941
15100	1.30	0.937
15200	1.31	0.928
15500	1.36	0.877
15700	1.41	0.831
16000	1.47	0.756
16500	1.56	0.636
17000	1.62	0.542
18000	1.68	0.409
20000	1.73	0.275
30000	1.76	0.110
50000	1.76	0.053
100000	1.76	0.017
