Fréquence (Hz)	E_eff (V)	S_eff (V)	phi 1-2 (deg)
0.1	1.78	1.78	-1.4
0.2	1.78	1.78	-1.4
0.5	1.78	1.78	-1.0
1	1.78	1.78	-1.4
2	1.78	1.78	-1.4
5	1.78	1.78	-1.4
10	1.78	1.78	-1.3
20	1.78	1.78	-1.2
50	1.78	1.78	-1.3
100	1.78	1.78	-1.2
200	1.78	1.78	-1.3
500	1.78	1.79	-0.3
1000	1.78	1.80	-0.9
2000	1.78	1.85	0.3
3000	1.77	1.93	3.0
4000	1.76	2.05	5.5
5000	1.75	2.20	4.5
6000	1.73	2.45	9.3
7000	1.70	2.78	12
8000	1.64	3.26	15
9000	1.51	3.91	26
10000	1.28	4.56	46
11000	1.091	4.68	82
12000	1.211	3.92	119
13000	1.39	3.02	137
14000	1.52	2.34	147
15000	1.59	1.86	153
16000	1.64	1.51	156
17000	1.67	1.254	158
18000	1.69	1.06	161
19000	1.70	0.910	163
20000	1.71	0.794	161
30000	1.75	0.300	160
40000	1.76	0.175	160
50000	1.76	0.107	163
100000	1.76	0.027	155
200000	1.75	0.008	150
500000	1.74	0.0026	157

