Fréquence (Hz)	E_eff (V)	S_eff (V)	phi 1-2 (deg)
100	1.77	1.76	1.2
200	1.77	1.76	1.2
500	1.77	1.77	0
1000	1.77	1.79	1.5
2000	1.77	1.83	1.6
5000	1.75	2.17	4.5
7000	1.7	2.72	11
9000	1.54	3.85	23
9100	1.53	3.93	23
9200	1.51	4.01	26
9500	1.45	4.26	29
10000	1.32	4.61	38
10200	1.267	4.83	43
10500	1.176	5.01	51
11000	1.057	5.12	73
11200	1.034	5.08	82
11500	1.038	4.93	96
12000	1.122	4.50	116
12200	1.168	4.30	123
12500	1.24	3.98	130
15000	1.58	2.04	157
20000	1.71	0.829	167
50000	1.76	0.108	168
100000	1.76	0.041	170
