"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)";"Absolute (rad/s)"
8.509083331E-3;1.675209403E-2;-2.395092510E-3;-6.421670550E-4;1.693462433E-2
1.849708334E-2;1.549668051E-2;-9.658094496E-4;1.339226263E-3;1.558439674E-2
2.848608333E-2;1.022894867E-2;9.290296584E-4;3.703314578E-3;1.091828859E-2
3.847408333E-2;4.461714532E-3;-4.262209870E-3;9.049796499E-3;1.095317973E-2
4.846208333E-2;1.963403542E-3;9.655756876E-4;1.116354764E-2;1.137594329E-2
5.845008334E-2;-2.600510605E-3;5.904305726E-5;1.578530297E-2;1.599818525E-2
6.843908333E-2;-1.859619282E-3;-1.834730618E-3;1.952304877E-2;1.969705190E-2
7.842708332E-2;-1.282620244E-3;-1.350743696E-3;2.215060405E-2;2.222878501E-2
8.841508333E-2;6.348560564E-4;-8.082585409E-4;2.231944911E-2;2.234310034E-2
9.840308334E-2;9.649284184E-4;-2.106145956E-3;2.497893386E-2;2.508613311E-2
1.083906250E-1;6.477938499E-3;2.584746107E-4;2.246384509E-2;2.338065081E-2
1.183796250E-1;6.397622637E-3;7.951250300E-4;1.784318127E-2;1.897210892E-2
1.283676250E-1;4.748859443E-3;-3.726715222E-4;1.949327625E-2;2.006684751E-2
1.383556250E-1;-1.201446634E-3;-1.343507320E-3;1.622238196E-2;1.632219846E-2
1.483436250E-1;-6.455064286E-3;-1.237779856E-3;2.079023607E-2;2.180444610E-2
1.583326250E-1;-1.053220406E-2;-1.121841371E-3;1.368180569E-2;1.730253327E-2
1.683206250E-1;-1.312638912E-2;2.338403836E-3;1.536066178E-2;2.034011195E-2
1.783086250E-1;-1.216972899E-2;1.647838391E-3;1.523964852E-2;1.957203520E-2
1.882966250E-1;-1.123788953E-2;1.402561553E-3;1.294453628E-2;1.719937091E-2
1.982856250E-1;-5.452170968E-3;2.510816790E-3;1.270298753E-2;1.404977798E-2
2.082736250E-1;1.389489975E-3;-7.976274937E-4;9.298136458E-3;9.435159437E-3
2.182616250E-1;9.672133252E-3;3.496697173E-4;1.319737732E-2;1.636591576E-2
2.282496250E-1;1.386767626E-2;1.187233254E-3;1.009293087E-2;1.719270837E-2
2.382376250E-1;1.752281189E-2;-2.005014569E-3;8.931498043E-3;1.976969087E-2
2.482266250E-1;1.365457196E-2;-5.589183420E-4;6.926937029E-3;1.532129830E-2
2.582146250E-1;1.310138777E-2;-2.616392449E-3;7.221322507E-3;1.518681565E-2
2.682026250E-1;4.867160227E-3;-6.491150707E-4;6.420776248E-3;8.083128520E-3
2.781906250E-1;2.808953635E-3;2.179863863E-3;4.186598584E-3;5.492689204E-3
2.881796250E-1;-8.158748969E-4;-1.844971441E-3;5.811659154E-3;6.151825224E-3
2.981676250E-1;8.468756452E-3;8.343113586E-4;3.882891033E-3;9.353756147E-3
3.081556250E-1;1.106560603E-2;-1.603279263E-3;4.548415076E-3;1.207088318E-2
3.181436250E-1;1.581695490E-2;-1.192167401E-4;-1.151017961E-3;1.585922814E-2
3.281326250E-1;1.898585074E-2;-3.542710096E-3;2.107892185E-3;1.942824059E-2
3.381206250E-1;1.882680319E-2;-2.067727037E-3;-4.302588059E-4;1.894489737E-2
3.481086250E-1;2.072084323E-2;-1.321509480E-3;-2.804466756E-3;2.095148599E-2
3.580966250E-1;1.633461937E-2;-1.172410324E-3;-1.071352232E-2;1.956971887E-2
3.680846250E-1;9.948357940E-3;-1.792982221E-5;-1.367096230E-2;1.690755327E-2
3.780736250E-1;5.145397969E-3;-1.191630028E-3;-1.483180746E-2;1.574412954E-2
3.880616250E-1;5.077696405E-4;5.918476731E-3;-1.748857833E-2;1.846988275E-2
3.980496250E-1;1.583049074E-3;1.197634265E-4;-1.695080474E-2;1.702498661E-2
4.080376250E-1;3.077349160E-3;3.807526082E-4;-1.544558536E-2;1.575376646E-2
4.180266250E-1;6.021791138E-3;3.340735100E-3;-1.417936012E-2;1.576314477E-2
4.280146250E-1;1.149804983E-2;2.379328012E-2;-1.773867384E-2;3.182743908E-2
4.380026250E-1;1.412494294E-2;2.084333822E-2;-2.027376369E-2;3.232621622E-2
4.479906250E-1;1.576571539E-2;-7.333233953E-4;-1.338576525E-2;2.069478815E-2
4.579796250E-1;1.963810623E-2;-1.564613543E-2;-3.115349449E-2;4.001246043E-2
4.679676250E-1;8.914623410E-3;2.643389627E-3;-3.513572365E-2;3.634524860E-2
4.779556250E-1;9.370344691E-3;-2.498219535E-2;-4.488020018E-2;5.221250628E-2
4.879436250E-1;-1.394403260E-2;-3.793288022E-2;-6.412206590E-2;7.579563828E-2
4.979316250E-1;2.190298401E-4;-3.174332082E-1;-1.104767397E-1;3.361086129E-1
5.079206250E-1;1.851734146E-2;-5.668123960E-1;-1.150680259E-1;5.786707482E-1
5.179086250E-1;6.200329959E-2;-6.530697942E-1;-7.285367697E-3;6.560469814E-1
5.278966250E-1;-1.894081756E-2;7.164023817E-2;-6.692340225E-2;9.984898629E-2
5.378846250E-1;-3.827579319E-2;2.444959581E-1;-8.324892074E-2;2.611009243E-1
5.478736250E-1;4.469008185E-3;-4.407192022E-2;-6.914161891E-2;8.211497824E-2
5.578616250E-1;1.619810238E-2;-1.196401790E-1;-6.889927387E-2;1.390081324E-1
5.678496250E-1;5.046115257E-3;1.877282560E-2;-8.635709435E-2;8.851796430E-2
5.778376250E-1;2.198237460E-3;3.089806810E-2;-9.473747760E-2;9.967302806E-2
5.878266250E-1;1.060849987E-2;-2.546587214E-2;-1.138427258E-1;1.171375991E-1
5.978146250E-1;-1.149029471E-3;2.365243062E-2;-1.255594194E-1;1.277729453E-1
6.078026250E-1;-2.530943602E-3;-1.494103298E-2;-1.324996203E-1;1.333633740E-1
6.177906250E-1;-1.113327220E-2;1.260024775E-2;-1.425702572E-1;1.435583304E-1
6.277796250E-1;-8.584627882E-3;-4.499376286E-3;-1.577185839E-1;1.580161129E-1
6.377676250E-1;-6.265286356E-3;2.267336473E-3;-1.591122001E-1;1.592516463E-1
6.477556250E-1;-6.313223392E-3;-8.208740503E-3;-1.624336988E-1;1.627634686E-1
6.577436250E-1;-8.229789324E-3;3.765614703E-3;-1.680324078E-1;1.682759619E-1
6.677316250E-1;-4.787120968E-3;-1.310369931E-3;-1.799495220E-1;1.800179549E-1
6.777206250E-1;-1.201851480E-2;3.849747591E-3;-1.893517375E-1;1.897718255E-1
6.877086250E-1;-2.446453087E-2;-4.475294147E-3;-2.030454427E-1;2.045629324E-1
6.976966250E-1;-3.201267496E-2;-1.409660093E-3;-2.208313346E-1;2.231440719E-1
7.076846250E-1;-2.893645689E-2;-2.780921757E-3;-2.437816560E-1;2.455087532E-1
7.176736250E-1;-4.563078657E-2;-8.848471567E-3;-2.594252229E-1;2.635562756E-1
7.276616250E-1;-4.274844378E-2;-5.371315032E-2;-2.677955627E-1;2.764543279E-1
7.376496250E-1;-4.633456841E-2;4.728467390E-2;-2.898988128E-1;2.973618238E-1
7.476376250E-1;-2.827753872E-2;-1.948104054E-2;-2.981207967E-1;3.000918852E-1
7.576266250E-1;-1.101242378E-2;1.175348274E-2;-3.092612624E-1;3.096803937E-1
7.676146250E-1;2.165163867E-3;-1.362883858E-2;-3.112144172E-1;3.115202187E-1
7.776026250E-1;1.817177236E-2;1.845581457E-3;-3.220717311E-1;3.225892426E-1
7.875906250E-1;2.426375262E-2;-6.961225532E-3;-3.278377652E-1;3.288081335E-1
7.975786250E-1;1.516575553E-2;1.270166971E-2;-3.403472006E-1;3.409216179E-1
8.075676250E-1;6.510410458E-6;5.663982779E-2;-3.425523043E-1;3.472033285E-1
8.175556250E-1;-4.366319627E-5;-4.528054222E-2;-3.529735804E-1;3.558660954E-1
8.275436250E-1;-1.061055437E-2;3.170771524E-2;-3.671501279E-1;3.686694719E-1
8.375316250E-1;-1.095303521E-2;-1.154464856E-2;-3.712846637E-1;3.716255499E-1
8.475206250E-1;-8.290939033E-3;1.472210884E-2;-3.790656328E-1;3.794420037E-1
8.575086250E-1;-6.700879894E-4;-4.797977395E-3;-3.800935149E-1;3.801243871E-1
8.674966250E-1;1.301509794E-2;2.013323829E-3;-3.831771910E-1;3.834034506E-1
8.774846250E-1;2.703344449E-2;-1.017916016E-2;-3.744023144E-1;3.755150003E-1
8.874736250E-1;3.340825438E-2;-9.267560206E-3;-3.754516244E-1;3.770489642E-1
8.974616250E-1;4.032708704E-2;-2.111314051E-2;-3.694476783E-1;3.722413541E-1
9.074496250E-1;3.309660405E-2;7.128616795E-3;-3.746823967E-1;3.762088525E-1
9.174376250E-1;3.349043429E-2;-1.893561892E-2;-3.620029688E-1;3.640416408E-1
9.274256250E-1;4.604191519E-3;7.960710675E-3;-3.573704064E-1;3.574887115E-1
9.374146250E-1;-1.014333032E-2;-7.579556666E-3;-3.491719961E-1;3.494015165E-1
9.474026250E-1;-1.605421677E-2;-2.801845782E-3;-3.371382654E-1;3.375319217E-1
9.573906250E-1;-2.437898889E-2;9.888497181E-3;-3.263681531E-1;3.274267687E-1
9.673786250E-1;-1.925240271E-2;-4.963153508E-3;-3.055411875E-1;3.061873694E-1
9.773676250E-1;-1.337816566E-2;3.035215661E-3;-2.929356992E-1;2.932567335E-1
9.873556250E-1;-4.036062397E-3;-5.208333023E-3;-2.795253396E-1;2.796029900E-1
9.973436250E-1;2.869836055E-3;-5.529100075E-3;-2.577192485E-1;2.577945267E-1
1.007331625E0;1.048233826E-3;-6.365599111E-3;-2.366371155E-1;2.367250390E-1
1.017320625E0;-5.375579465E-3;-1.178444363E-3;-2.262910008E-1;2.263579083E-1
1.027308625E0;-1.175864413E-2;-5.233373027E-3;-2.109320164E-1;2.113243229E-1
1.037296625E0;-2.871887758E-2;3.509846516E-3;-1.961965561E-1;1.983183844E-1
1.047284625E0;-3.540634364E-2;-2.420481294E-3;-1.718789786E-1;1.755045617E-1
1.057273625E0;-4.205897078E-2;5.673936568E-3;-1.585436165E-1;1.641256498E-1
1.067261625E0;-4.363662750E-2;-4.721069708E-4;-1.467231810E-1;1.530753736E-1
1.077249625E0;-3.412135690E-2;4.663754255E-3;-1.323052049E-1;1.367138795E-1
1.087237625E0;-2.400800027E-2;-1.826636493E-3;-1.135890409E-1;1.161128369E-1
1.097225625E0;-1.072970498E-2;3.719504923E-3;-9.683533013E-2;9.749893562E-2
1.107214625E0;-5.035333801E-3;-8.955011144E-3;-9.050819278E-2;9.108940537E-2
1.117202458E0;-2.881209599E-3;-2.245314419E-3;-7.385630161E-2;7.394657593E-2
1.127190458E0;-6.864499766E-3;-6.624883041E-3;-5.769810081E-2;5.848146090E-2
1.137178458E0;-1.547071617E-2;-4.540434573E-3;-4.674968868E-2;4.945191601E-2
